Date,Close/Last,Volume,Open,High,Low
05/07/2021,13709.75,540441,13614.50,13743.25,13702.25
05/06/2021,13597.75,562738,13537.25,13611.50,13466.25
05/05/2021,13491.00,515413,13525.75,13509.50,13476.00
05/04/2021,13536.00,644872,13785.00,13552.75,13422.50
05/03/2021,13790.00,469107,13880.25,13819.25,13774.00
04/30/2021,13850.00,548009,13948.25,13956.75,13825.00
04/29/2021,13953.50,588412,13973.50,13978.25,13937.50
04/28/2021,13892.25,497714,13955.50,13993.50,13878.00
04/27/2021,13953.00,406798,14024.75,14050.00,13912.50
04/26/2021,14011.50,396257,13919.75,14039.25,13993.00
04/23/2021,13927.00,440081,13757.00,13981.00,13737.00
04/22/2021,13750.25,615771,13896.50,13928.00,13701.75
04/21/2021,13919.25,500195,13740.00,13926.50,13700.50
04/20/2021,13794.25,603417,13900.00,13933.75,13719.25
04/19/2021,13897.25,608734,13989.00,14052.25,13821.00
04/16/2021,14029.50,490003,14002.00,14059.50,13952.75
04/15/2021,14014.00,514989,13827.00,14034.25,13980.25
04/14/2021,13798.75,656774,13977.75,13833.00,13772.75
04/13/2021,13975.75,484236,13825.00,13994.00,13772.75
04/12/2021,13808.75,448895,13817.75,13832.25,13732.00
04/09/2021,13829.50,487245,13786.50,13841.75,13648.25
04/08/2021,13747.75,430287,13620.75,13789.75,13615.50
04/07/2021,13604.75,428006,13580.50,13641.00,13560.75
04/06/2021,13570.00,451858,13603.75,13603.75,13545.25
04/05/2021,13585.50,349328,13339.00,13615.00,13304.25
04/01/2021,13316.00,422777,13094.50,13332.50,13090.25
03/31/2021,13089.75,470371,12894.75,13158.00,12858.25
03/30/2021,12878.25,509102,12975.00,12984.00,12776.50
03/29/2021,12944.50,568651,12975.75,13003.00,12807.50
03/26/2021,12966.75,614005,12799.75,12988.50,12676.25
03/25/2021,12770.50,737986,12803.00,12821.50,12655.00
03/24/2021,12794.00,621481,13050.25,13145.25,12784.00
03/23/2021,13006.25,596565,13069.00,13039.00,12979.00
03/22/2021,13071.75,467497,12807.00,13157.00,12788.50
03/19/2021,12844.50,632174,12793.50,12898.25,12681.75
03/18/2021,12779.75,704214,13187.00,13267.00,12762.00
03/17/2021,13189.00,651508,13159.50,13271.00,12934.25
